n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha,mse,mae
200,0.1,10,0.6,0.6,2.0,0.5,762582330.3924652,16903.61650524401
1500,0.01,6,0.6,0.8,2.0,2.0,762596803.8436965,15829.48125802654
1500,0.01,6,0.6,0.8,2.0,0.0,762632645.3918288,15849.134912778254
1500,0.01,6,0.6,0.8,2.0,1.0,762802760.4934459,15823.732809824487
1500,0.01,6,0.6,0.8,2.0,0.5,763210422.0525147,15834.067503210616
750,0.01,8,0.6,0.6,0.5,0.5,763711420.3646895,15652.971010809075
200,0.1,10,0.6,0.8,2.0,0.0,764765702.4382956,16858.666202910958
750,0.01,8,0.6,0.6,0.5,0.0,765003399.1886189,15690.124906357021
750,0.1,10,0.6,0.6,2.0,2.0,765458216.7386211,16970.081830586474
1000,0.1,10,0.6,0.6,2.0,2.0,765458881.7366256,16970.089536065923
1500,0.1,10,0.6,0.6,2.0,2.0,765459160.0912614,16970.09643889127
500,0.1,10,0.6,0.6,2.0,2.0,765510775.651868,16970.87161547517
750,0.01,8,0.6,0.6,0.5,2.0,766165777.8790137,15685.972375321062
750,0.01,8,0.6,0.6,0.5,1.0,767110045.249062,15672.872003424658
500,0.1,8,0.6,0.6,0.5,0.5,767376487.5592374,15928.751311001712
750,0.1,8,0.6,0.6,0.5,0.5,767382767.2735057,15928.120250963186
1500,0.1,8,0.6,0.6,0.5,0.5,767384516.2499084,15928.163861836472
1000,0.1,8,0.6,0.6,0.5,0.5,767384609.0332015,15928.168383454624
200,0.1,10,0.6,0.8,2.0,0.5,767483628.4384744,16836.83443921233
200,0.1,10,0.6,0.8,2.0,2.0,767638406.7328991,16849.86860552226
200,0.1,8,0.6,0.6,0.5,1.0,767901723.8241783,15994.472709760274
200,0.1,10,0.6,0.8,2.0,1.0,768609760.7058091,16849.971184717466
200,0.1,8,0.6,0.6,0.5,0.5,769033808.2439495,15950.643233625857
500,0.1,8,0.6,0.6,0.5,1.0,769240981.1083802,16003.426543771404
750,0.1,8,0.6,0.6,0.5,1.0,769277474.8853663,16004.053563784246
1500,0.1,8,0.6,0.6,0.5,1.0,769277502.2142273,16004.04359749572
